,epoch,batch_no,agg_loss,global_batch
164,1,500,0.6279163956642151,164
165,1,510,0.2611108720302582,165
166,1,520,0.8448694348335266,166
167,1,530,0.15031296014785767,167
168,1,540,1.4936802387237549,168
169,1,550,1.4180920124053955,169
170,1,560,0.8482999205589294,170
171,1,570,0.27232229709625244,171
172,1,580,1.4792485237121582,172
173,1,590,0.5901880264282227,173
174,1,600,0.8472819328308105,174
175,1,610,0.33423349261283875,175
176,1,620,0.18224596977233887,176
177,1,630,0.24513041973114014,177
178,1,640,0.2792055606842041,178
179,1,650,0.19015172123908997,179
180,1,660,0.7558325529098511,180
181,1,670,2.04240345954895,181
182,1,680,0.655598521232605,182
183,1,690,0.48455679416656494,183
184,1,700,0.22480927407741547,184
185,1,710,0.2833412289619446,185
186,1,720,1.14963960647583,186
187,1,730,0.5157291889190674,187
